Country,Count,Mean_Health_Expenditure,Median_Health_Expenditure,SD_Health_Expenditure,Var_Health_Expenditure,Suicide_Rate_N,Mean_Suicide_Rate,Median_Suicide_Rate,SD_Suicide_Rate,Var_Suicide_Rate
Kazakhstan,10.0,284.57808534000003,282.60375980000003,76.07283729209847,5787.076573670089,10.0,24.38199633091036,23.80547713289421,3.8134168295245585,14.542147915701134
Latvia,10.0,765.50220338,770.0718688999999,97.5940468554123,9524.59798161641,10.0,22.393428042151605,22.277815339553143,1.9388541625604154,3.7591554636778497
Lithuania,10.0,856.9589355500002,908.5684204500001,142.60473251085614,20336.109734492828,10.0,34.80173099725019,34.035657230281856,2.1601597896391755,4.666290316773967
Luxembourg,10.0,6840.0017578,6888.921875,672.0603645652927,451665.1336196342,10.0,11.66315683420341,11.273448809937902,2.710372541183652,7.346119312002328
Malta,10.0,1892.4891966999999,1824.8832395,309.74946630850405,95944.73187840308,10.0,6.696112761726726,6.721681714503973,1.6791638936906579,2.8195913818743708
Mauritius,10.0,378.00396577,381.87550355,114.84217341219914,13188.72479403762,10.0,9.509797526071353,9.829439488475586,1.1677842924131108,1.3637201536067896
Mexico,10.0,551.53652648,549.6603088500001,41.94199981590889,1759.1313485577016,10.0,4.868738326510453,4.873900603380914,0.4409831922752083,0.19446617586923337
Netherlands,10.0,5121.553906300001,5273.2597655,490.4430437765657,240534.37918882232,10.0,10.446051114645224,10.341812035841794,1.0291719863775752,1.059194977544364
Norway,10.0,7951.3699219,7813.783203000001,1101.9356928762243,1214262.2712346043,10.0,11.792945680695126,11.788811735795429,0.6696634628325344,0.4484491534528612
Panama,10.0,630.23757324,599.2937927,193.2231090428937,37335.169868201985,10.0,4.692355853506458,4.465199754167463,1.009625723991932,1.0193441025462326
Poland,10.0,792.1007019,812.1706237999999,119.36368957424273,14247.690388776182,10.0,16.51123780056601,16.716373435652606,1.1727705656200733,1.3753907995848265
Qatar,10.0,1545.0069945999999,1351.408997,322.9225663625045,104278.9838661461,10.0,2.6802970544879106,2.7392452327596724,0.5273635152450896,0.2781122772116578
Romania,10.0,441.80706177,445.81047060000003,66.0335597598327,4360.431014555396,10.0,12.523021818498346,12.581955631705377,0.6611677844081041,0.4371428391391212
Russian Federation,10.0,600.87014769,588.6213989,147.41441587047223,21731.01000643253,10.0,24.76843543741967,23.883585783123642,4.5750365044397805,20.930959016956567
Serbia,10.0,561.8001342700001,567.6413574000001,84.1934943195006,7088.54448572778,10.0,18.154000991617835,18.15171586696227,1.4398146623690897,2.0730662619730156
Seychelles,10.0,549.00038758,531.2599182,112.29171658711525,12609.429614081013,10.0,6.755960844218011,6.67356570802254,2.357156200891667,5.556185355402037
Singapore,10.0,1639.3918396400004,1608.9694215,487.97283898375144,238117.4915858622,10.0,9.554039044673033,9.649448520002132,0.8657065137222348,0.749447767901106
Slovenia,10.0,1964.7172362999997,2034.9888914999997,200.53883997698043,40215.82633931296,10.0,22.472766581855176,22.444131514439025,2.044511069211398,4.1800255121279335
South Africa,10.0,475.76982117,490.315094,87.52560731192777,7660.731935321785,10.0,0.9943404032701919,0.9904191644397782,0.1586453504955804,0.02516834723386555
Spain,10.0,2660.5364259000003,2650.0733645,240.39349273490487,57789.03134928676,10.0,7.9607563223109805,7.934934728091891,0.534174255563625,0.28534213530695296
Sweden,10.0,5298.7175537,5138.011962500001,1142.40260657753,1305083.7155151349,10.0,13.21941413629143,13.008546647761923,0.5647248616780723,0.318914169397318
Switzerland,10.0,8370.5713863,8654.1796875,1505.7493874387008,2267281.2177720224,10.0,15.20822852579344,13.848252201277681,2.301734407080824,5.2979812807397115
Thailand,10.0,175.63662644000004,183.9981766,40.49499922083205,1639.8449618951881,10.0,6.413443822251736,6.403451385851842,0.2548900718798787,0.06496894874292973
Turkmenistan,10.0,314.22098847999996,300.3711548,81.52945114816171,6647.051404520487,10.0,5.194143522056847,3.3108806699011444,3.6754111802521203,13.508647343922283
United Kingdom,10.0,3731.1427489000002,3554.0893555000002,480.76584902778785,231135.80159140972,10.0,7.475878578970663,7.413110221029255,0.4036706999800083,0.16295003402234987
