country,year,"number of suicides (per 100,000 people)",health expenditure (per capita)
Lithuania,2014,33.43427127848697,1021.2329710000001
Lithuania,2015,32.5353695052082,920.1997681
Luxembourg,2006,14.612619458164069,6065.344238000001
Luxembourg,2007,17.256179039494526,6662.445313
Luxembourg,2008,9.340292937652462,7548.198242
Luxembourg,2009,10.229982800841416,7639.851073999999
Luxembourg,2010,11.297567466353126,7452.205078
Luxembourg,2011,11.249330153522678,7164.688477
Luxembourg,2012,10.178746776730186,7096.870117
Luxembourg,2013,7.8020008231110864,6522.022949
Luxembourg,2014,12.763363432011278,6680.973633
Luxembourg,2015,11.901485454153244,5567.418457
Malta,2006,6.735088255560332,1474.4844970000001
Malta,2007,6.708275173447614,1596.123169
Malta,2008,3.587949614936122,1751.165039
Malta,2009,9.157928476578599,1677.362305
Malta,2010,7.849114695821487,1733.668823
Malta,2011,5.045115949377307,1960.061157
Malta,2012,6.263497837840546,1898.60144
Malta,2013,5.462744085337996,2121.082275
Malta,2014,7.871594612877438,2462.4846190000003
Malta,2015,8.279818915489837,2249.858643
Mauritius,2006,10.48608327905156,209.1470184
Mauritius,2007,11.18713074760864,235.84637450000002
Mauritius,2008,7.328193129295498,321.80825810000005
Mauritius,2009,9.917631910972435,310.14736939999995
Mauritius,2010,8.412515419368185,367.1207886
Mauritius,2011,10.056658189528806,396.6302185
Mauritius,2012,9.741247065978738,398.15905760000004
Mauritius,2013,8.541123767855742,452.5140686000001
Mauritius,2014,10.421877605469401,559.5051269999999
Mauritius,2015,9.005514145584526,529.1613769999999
Mexico,2006,4.295775235046694,501.0375671
Mexico,2007,4.272426377344267,542.7859497000001
Mexico,2008,4.543381942202212,556.534668
Mexico,2009,4.8277493071175375,477.6488647
Mexico,2010,4.588392438197031,538.744751
Mexico,2011,5.162783741782786,565.1291504
Mexico,2012,4.920051899644291,580.7484741000001
Mexico,2013,5.143344127241236,617.8746947999999
Mexico,2014,5.482170615496288,595.8328247000001
Mexico,2015,5.451307581032191,539.0283203
Netherlands,2006,9.922767037439806,4076.595703
Netherlands,2007,8.777727960966207,4689.932617
Netherlands,2008,9.279702285998876,5360.748535
Netherlands,2009,9.80632445115348,5261.570801
Netherlands,2010,10.222154046204519,5186.632813
Netherlands,2011,10.46147002547907,5554.845215
Netherlands,2012,11.086206429583047,5284.94873
Netherlands,2013,11.673317186921759,5531.153809
Netherlands,2014,11.56639563941224,5594.431152
Netherlands,2015,11.664446083293235,4674.679688
Norway,2006,12.168057339911707,5892.987305
Norway,2007,10.979386145916273,6895.560547
Norway,2008,11.29226184899272,7768.050293000001
Norway,2009,12.655890532952142,7301.959961
Norway,2010,11.957533300530127,7859.516113
Norway,2011,12.878771563327804,8900.37207
Norway,2012,10.9421162052741,8970.120117
Norway,2013,11.620090171060731,9241.265625
Norway,2014,11.352388496964481,9118.317383
Norway,2015,12.082961202021172,7565.549805
Panama,2006,6.089614770969589,350.4006653
Panama,2007,5.521226370926965,427.01916500000004
Panama,2008,5.894215936185289,489.80703739999996
Panama,2009,5.506277311679871,529.855896
Panama,2010,4.611510758410281,579.5228271000001
Panama,2011,4.318888749924644,619.0647583
Panama,2012,3.976150167705178,705.2017822
Panama,2013,3.7600650433405343,790.0667725
Panama,2014,4.175883675220788,883.6765747000002
Panama,2015,3.0697257507014317,927.7602538999998
Poland,2006,15.970515429746346,524.0974731000001
Poland,2007,14.55212703268828,660.9246826
Poland,2008,15.6689884548345,892.5968627999998
Poland,2009,17.88070595909241,759.6057739
Poland,2010,17.64471210571861,809.1994018999999
Poland,2011,16.976671198870413,866.0946654999999
Poland,2012,17.68228455560737,815.1418457000001
Poland,2013,17.260861698414384,878.088501
Poland,2014,16.4560756724348,911.2981566999999
Poland,2015,15.019435898253017,803.9596558
Qatar,2006,3.0848110287312926,1327.681519
Qatar,2007,3.67555104130154,1322.241699
Qatar,2008,2.518190108091403,1327.578979
Qatar,2009,2.920388225791143,1321.4886470000001
Qatar,2010,2.781736655950076,1257.945923
Qatar,2011,2.6967538095692687,1375.136475
Qatar,2012,2.146620146579211,1548.309204
Qatar,2013,1.7327378334876409,1833.387329
Qatar,2014,2.44261845145096,2104.407227
Qatar,2015,2.8035632439265687,2031.8929440000002
Romania,2006,13.255995487992358,291.0040894
Romania,2007,11.868116797507366,415.0679016
Romania,2008,12.09760121500633,521.3156128
Romania,2009,12.682139007032655,449.3769226
Romania,2010,13.593040009683197,472.20751950000005
Romania,2011,12.497720127060811,426.59973139999994
Romania,2012,13.102894642118722,401.671051
Romania,2013,12.666191136349942,495.23623660000004
Romania,2014,11.655617398159109,503.34753420000004
Romania,2015,11.810902364072973,442.24401860000006
Russian Federation,2006,31.48256429335237,352.74954219999995
Russian Federation,2007,30.530728816108127,461.87951660000004
Russian Federation,2008,28.43377621271997,609.8651123
Russian Federation,2009,27.89863086767972,516.6986084
Russian Federation,2010,24.732700024654843,567.3776855000001
Russian Federation,2011,23.034471541592442,684.7526245
Russian Federation,2012,22.011825450939455,760.0706787
Russian Federation,2013,21.296975884355625,811.1694336
Russian Federation,2014,19.70174405530438,742.2849731000001
Russian Federation,2015,18.560937227489774,501.8533019999999
Serbia,2006,20.521029362137288,371.557312
Serbia,2007,19.30207244054948,547.1903687000001
Serbia,2008,18.44450308018909,671.9564819
Serbia,2009,19.70368414405933,575.4691162
Serbia,2010,17.37973246731293,545.2910767000001
Serbia,2011,18.202827322269897,619.0800171
Serbia,2012,18.100604411654643,559.8135986000001
Serbia,2013,17.518337909273452,627.53302
Serbia,2014,16.672032885364338,608.8585815
Serbia,2015,15.695185893367908,491.25177
Seychelles,2006,9.79300045292627,530.3119507
Seychelles,2007,7.287655925471571,468.20559689999993
Seychelles,2008,4.825090470446321,425.57287599999995
Seychelles,2009,4.7944959186853495,361.5524292
Seychelles,2010,7.152649460571017,512.2929688
Seychelles,2011,6.194481955474063,532.2078857
Seychelles,2012,3.6934896089825684,657.9508667
Seychelles,2013,10.903672114464328,645.4216309
Seychelles,2014,4.770707853777804,682.2625122000001
Seychelles,2015,8.144364681380821,674.2251587000001
Singapore,2006,10.903015914886137,945.7785034
Singapore,2007,9.676658012744866,1084.877319
Singapore,2008,9.249325872017168,1275.143311
Singapore,2009,9.869630383756117,1328.818115
Singapore,2010,8.275553567434576,1513.565918
Singapore,2011,8.553417201255241,1704.372925
Singapore,2012,10.794140323824207,1863.081055
Singapore,2013,9.750219584777208,2114.615234
Singapore,2014,9.622239027259397,2237.400879
Singapore,2015,8.846190558775406,2326.2651370000003
Slovenia,2006,27.572619190334468,1541.664307
Slovenia,2007,22.518175384417425,1793.57605
Slovenia,2008,20.990267306938414,2170.666748
Slovenia,2009,23.017069190751766,2116.540039
Slovenia,2010,21.287820589950297,2015.18042
Slovenia,2011,22.370087644460625,2144.995605
Slovenia,2012,22.61062247043661,1974.965576
Slovenia,2013,22.892033777555127,2054.7973629999997
Slovenia,2014,19.87922856296745,2059.6403809999997
Slovenia,2015,21.589741700739573,1775.1458739999998
South Africa,2006,1.1660866519898556,362.463623
South Africa,2007,0.9354508620785384,386.00003050000004
South Africa,2008,1.0096018400485745,372.3551025
South Africa,2009,0.8156634036037588,413.0740967
South Africa,2010,0.8510877898138002,539.5676269999999
South Africa,2011,0.7648471302390879,597.3594360000001
South Africa,2012,1.0256030967401069,579.7485352000001
South Africa,2013,1.218026821863619,526.4995728
South Africa,2014,1.1857999474935959,509.83322139999996
South Africa,2015,0.971236488830982,470.7969666
Spain,2006,7.7662986552511555,2227.942139
Spain,2007,7.671457245716049,2587.02417
Spain,2008,8.002410399161251,2967.600342
Spain,2009,7.884555574343999,2912.541748
Spain,2010,7.243890840116088,2775.1401370000003
Spain,2011,7.286463485389071,2894.764404
Spain,2012,7.985313881839782,2588.674561
Spain,2013,8.756970332456241,2628.86377
Spain,2014,8.85387063446846,2671.282959
Spain,2015,8.156332174367718,2351.530029
Sweden,2006,13.95748435992166,3788.660889
Sweden,2007,13.048780304082936,4321.836914
Sweden,2008,13.466069647893354,4652.80957
Sweden,2009,14.184685519126367,4151.79834
Sweden,2010,12.931926046610467,4437.119140999999
Sweden,2011,12.515977004818652,6386.692871
Sweden,2012,12.89542669391319,6273.509765999999
Sweden,2013,13.630196803419649,6723.074706999999
Sweden,2014,12.595281991687115,6628.458984000001
Sweden,2015,12.96831299144091,5623.214355
Switzerland,2006,18.388764900132433,5900.513672
Switzerland,2007,18.932024981920613,6401.807617
Switzerland,2008,18.062166016598226,7411.206055
Switzerland,2009,15.004294894547641,7599.472656
Switzerland,2010,13.523055801962242,8021.80957
Switzerland,2011,13.753584710908694,9572.171875
Switzerland,2012,13.66582271214972,9286.549805
Switzerland,2013,13.942919691646669,9689.674805
Switzerland,2014,13.21446969065464,10014.70898
Switzerland,2015,13.59518185741353,9807.798828
Thailand,2006,5.853673225376543,104.42755129999999
Thailand,2007,6.36901384167904,126.8236008
Thailand,2008,6.379949140423441,151.47363280000002
Thailand,2009,6.3664480421348255,152.4512939
Thailand,2010,6.292479254226268,172.0576935
Thailand,2011,6.426953631280242,195.9386597
Thailand,2012,6.599621031046291,206.4404449
Thailand,2013,6.5183955755085865,213.0030975
Thailand,2014,6.463862014602933,219.36616519999998
Thailand,2015,6.864042466239196,214.38412480000002
Turkmenistan,2006,11.801336396394296,374.1834106
Turkmenistan,2007,8.151691464465188,281.93499760000003
Turkmenistan,2008,10.96974593932416,255.47691349999997
Turkmenistan,2009,3.679367023996385,194.25396730000003
Turkmenistan,2010,3.911069314914687,221.79858399999998
Turkmenistan,2011,2.8101454898786127,276.6517029
Turkmenistan,2012,2.9423943158059034,318.807312
Turkmenistan,2013,2.127186816496439,376.223877
Turkmenistan,2014,2.8267217489426297,437.75280760000004
Turkmenistan,2015,2.72177671035016,405.1263123
United Kingdom,2006,7.220035883333119,3251.677734
United Kingdom,2007,6.791238699109561,3740.1979979999996
United Kingdom,2008,7.383410248624163,3606.229004
United Kingdom,2009,7.318978654627963,3273.727539
United Kingdom,2010,7.170799559047192,3309.480957
United Kingdom,2011,7.460702832512809,3501.949707
United Kingdom,2012,7.442810193434348,3492.889648
United Kingdom,2013,8.027718527220514,4207.887695
United Kingdom,2014,7.904840512908581,4601.137207
United Kingdom,2015,8.038250678888387,4326.25
